record_id,pub_year,pub_author,pub_title,pub_journal,pub_apa,pub_doi,cognitive_test_1,cognitive_test_2,cognitive_test_3
39,2003,"Iverson, Grant L.; Lovell, Mark R.; Collins, Michael W.",Interpreting change on ImPACT following sport concussion,The Clinical Neuropsychologist,NA,10.1076/clin.17.4.460.27934,ImPACT,NA,NA
46,2004,"Iverson, Grant L.; Gaetz, Michael; Lovell, Mark R.; Collins, Michael W.",Relation between subjective fogginess and neuropsychological testing following concussion,Journal of the International Neuropsychological Society,NA,10.1017/S1355617704106139,ImPACT,NA,NA
47,2004,"Lovell, Mark R.; Collins, Michael W.; Iverson, Grant L.; Johnston, Karen M.; Bradley, James P.","Grade 1 or ""Ding"" Concussions in High School Athletes",American Journal of Sports Medicine,NA,10.1177/0363546503260723,ImPACT,NA,NA
56,2005,"Iverson, Grant L.; Lovell, Mark R.; Collins, Michael W.",Validity of ImPACT for measuring processing speed following sports-related concussion,Journal of Clinical and Experimental Neuropsychology,NA,10.1081/13803390490918435,ImPACT,NA,NA
60,2006,"Broglio, S. P.; Ferrara, M. S.; Piland, S. G.; Anderson, R. B.",Concussion history is not a predictor of computerised neurocognitive performance,British Journal of Sports Medicine,NA,10.1136/bjsm.2006.028019,ImPACT,NA,NA
73,2007,"Broglio, Steven P.; Macciocchi, Stephen N.; Ferrara, Michael S.",Neurocognitive performance of concussed athletes when symptom free,Journal of Athletic Training,NA,10.1080/13854046.2010.528452,ImPACT,NA,NA
74,2007,"Broglio, Steven P; Macciocchi, Stephen N; Ferrara, Michael S",Sensitivity of the concussion assessment battery,Neurosurgery,NA,10.1227/01.neu.0000255479.90999.c0,ImPACT,NA,NA
77,2007,"Covassin, Tracey; Schatz, Philip; Swanik, C Buz",Sex differences in neuropsychological function and post-concussion symptoms of concussed collegiate athletes,Neurosurgery,NA,10.1227/01.neu.0000279972.95060.cb,ImPACT,NA,NA
78,2007,"Covassin, Tracey; Weiss, Leigh; Powell, John; Womack, Christopher",Effects of a maximal exercise test on neurocognitive function,British Journal of Sports Medicine,NA,10.1136/bjsm.2006.032334,ImPACT,NA,NA
85,2008,"Covassin, Tracey; Stearne, David; Elbin, Robert",Concussion history and postconcussion neurocognitive performance and symptoms in collegiate athletes,Journal of Athletic Training,NA,10.4085/1062-6050-43.2.119,ImPACT,NA,NA
93,2009,"Broglio, Steven P.; Pontifex, Mathew B.; O’Connor, Philip; Hillman, Charles H.",The persistent effects of concussion on neuroelectric indices of attention,Journal of Neurotrauma,NA,10.1089/neu.2008.0766,ImPACT,NA,NA
94,2009,"Broglio, Steven P.; Sosnoff, Jacob J.; Ferrara, Michael S.",The relationship of athlete-reported concussion symptoms and objective measures of neurocognitive function and postural control,Clinical Journal of Sport Medicine,NA,10.1097/JSM.0b013e3181b625fe,ImPACT,NA,NA
95,2009,"Bruce, Jared M; Echemendia, Ruben J",History of multiple self-reported concussions is not associated with reduced cognitive abilities,Neurosurgery,"Bruce & Echemendia, 2009",10.1227/01.NEU.0000336310.47513.C8,ImPACT,NA,NA
