record_id,pub_apa,pub_year,pop_country
1065,"Alexander, Shuttleworth-Edwards, Kidd, & Malcolm, 2015",2015,South Africa
948,"Alhilali, Delic, Gumus, & Fakhran, 2015",2015,USA
116,"Allen & Gfeller, 2011",2011,USA
133,"Amyot et al., 2012",2012,USA
944,"Armistead-Jehle, Cooper, & Vanderploeg, 2016",2016,USA
1156,"Barrow et al., 2003",2003,USA
59,"Barrow et al., 2006",2006,USA
540,"Barwick, Arnett, & Slobounov, 2012",2012,USA
155,"Barwood & Murdoch, 2013",2013,Australia
136,"Beaupré, De Guise, & McKerral, 2012",2012,Canada
1012,"Bernstein, Mitchell, Bazarian, & Langfitt, 2015",2015,USA
207,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",2015,USA
92,"Blanchet, Paradis-Giroux, Pépin, & McKerral, 2009",2009,Canada
137,"Blyth, Scott, Bond, & Paul, 2012",2012,Australia
503,"Boake et al., 2004",2004,USA
209,"Bolzenius, Roskos, Salminen, Paul, & Bucholz, 2015",2015,USA
34,"Borgaro, Prigatano, Kwasnica, & Rexer, 2003",2003,USA
48,"Broglio, Tomporowski, & Ferrara, 2005",2005,USA
1071,"Brooks et al., 2013",2013,Canada
1008,"Brooks, Daya, et al., 2016",2016,Canada
210,"Brooks, Iverson, Atkins, Zafonte, & Berkner, 2016",2016,USA
1160,"Brooks, Khan, Daya, Mikrogianakis, & Barlow, 2014",2014,Canada
947,"Brooks, Low, et al., 2016",2016,Canada
1161,"Brookshire, Chapman, Song, & Levin, 2000",2000,USA
95,"Bruce & Echemendia, 2009",2009,USA
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported
84,"Catale, Marique, Closset, & Meulemans, 2008",2008,Belgium
138,"Clarke, Genat, & Anderson, 2012",2012,Australia
103,"Cooper et al., 2010",2010,USA
139,"Cooper, Chau, Armistead-Jehle, Vanderploeg, & Bowles, 2012",2012,USA
186,"Cooper, Vanderploeg, Armistead-Jehle, Lewis, & Bowles, 2014",2014,USA
53,"De Monte et al., 2005",2005,Australia
63,"De Monte, Geffen, & Massavelli, 2006",2006,Australia
44,"De Monte, Geffen, May, & McFarland, 2004",2004,Australia
107,"De Monte, Geffen, May, & McFarland, 2010",2010,Australia
615,"Decq et al., 2016",2016,France
16,"Dikmen, Machamer, & Temkin, 2001",2001,USA
216,"Dunkley et al., 2015",2015,Canada
143,"Echemendia et al., 2012",2012,USA
121,"Elbin, Schatz, & Covassin, 2011",2011,USA
86,"Ettenhofer & Abeles, 2008",2008,USA
190,"Fakhran, Yaeger, Collins, & Alhilali, 2014",2014,USA
65,"Falconer, Geffen, Olsen, & McFarland, 2006",2006,Australia
11,"Fisher et al., 2000",2000,USA
1142,"Ford, Giovanello, & Guskiewicz, 2013",2013,USA
168,"Galetto, Andreetta, Zettin, & Marini, 2013",2013,Italy
954,"Ghodadra, Alhilali, & Fakhran, 2016",2016,USA
501,"Greiffenstein & Baker, 2003",2003,USA
87,"Greiffenstein & Baker, 2008",2008,USA
29,"Greiffenstein, Baker, & Johnson-Greene, 2002",2002,USA
112,"Grubenhoff, Kirkwood, Gao, Deakyne, & Wathen, 2010",2010,USA
221,"Hï¿½nninen et al., 2016",2016,Finland
45,"Hanten et al., 2004",2004,USA
222,"Henry & Sandel, 2015",2015,USA
493,"Hinton-Bayre, Geffen, & McFarland, 1997",1997,Australia
611,"Hobson et al., 2016",2016,Australia
98,"Hunt & Ferrara, 2009",2009,USA
172,"Jamora, Schroeder, & Ruff, 2013",2013,USA
99,"Johansson, Berglund, & Rönnbäck, 2009",2009,Sweden
197,"Jones et al., 2014",2014,USA
199,"Keightley et al., 2014",2014,Canada
614,"Killgore et al., 2016",2016,USA
70,"King, Hough, Walker, Rastatter, & Holbert, 2006",2006,USA
200,"Kinsella, Olver, Ong, Gruen, & Hammersley, 2014",2014,Australia
127,"Konrad et al., 2011",2011,Germany
113,"Kontos, Elbin, Covassin, & Larson, 2010",2010,USA
202,"Kuhn & Solomon, 2014",2014,USA
71,"Landre, Poppe, Davis, Schmaus, & Hobbs, 2006",2006,USA
115,"Lange, Iverson, Brooks, & Rennison, 2010",2010,Canada
40,"Langeluddecke & Lucas, 2003",2003,Australia
1101,"Lax et al., 2015",2015,Canada
1199,"Lee et al., 2008",2008,USA
1202,"Levin et al., 1987",1987,USA
178,"Lipton et al., 2013",2013,USA
234,"List, Ott, Bukowski, Lindenberg, & Flöel, 2015",2015,Germany
236,"Littleton, Register-Mihalik, & Guskiewicz, 2015",2015,USA
952,"Lopez et al., 2017",2017,USA
237,"Losoi et al., 2016",2016,Finland
203,"Louey et al., 2014",2014,Australia
575,"Luoto et al., 2014",2014,Finland
406,"Möller, de Boussard, Oldenburg, & Bartfai, 2014",2014,Sweden
180,"Macciocchi, Seel, & Thompson, 2013",2013,USA
1105,"Marsh & Smith, 1995",1995,New Zealand
272,"Marsh & Whitehead, 2005",2005,New Zealand
