record_id,pub_apa,pub_year,pop_country,total_n,Language
1065,"Alexander, Shuttleworth-Edwards, Kidd, & Malcolm, 2015",2015,South Africa,96,"English, 100"
948,"Alhilali, Delic, Gumus, & Fakhran, 2015",2015,USA,74,"English, 100"
116,"Allen & Gfeller, 2011",2011,USA,100,"English, 100"
133,"Amyot et al., 2012",2012,USA,20,"English, 100"
944,"Armistead-Jehle, Cooper, & Vanderploeg, 2016",2016,USA,129,"English, 100"
1156,"Barrow et al., 2003",2003,USA,48,"English, 100"
59,"Barrow et al., 2006",2006,USA,48,"English, 100"
540,"Barwick, Arnett, & Slobounov, 2012",2012,USA,14,"English, 100"
155,"Barwood & Murdoch, 2013",2013,Australia,32,"English, 100"
136,"Beaupré, De Guise, & McKerral, 2012",2012,Canada,47,"French, 100"
1012,"Bernstein, Mitchell, Bazarian, & Langfitt, 2015",2015,USA,30,"English, 100"
207,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",2015,USA,60,"Spanish Preferred, 63.33"
207,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",2015,USA,60,"English Preferred, 26.67"
207,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",2015,USA,60,"English or Spanish Preferred, 10"
92,"Blanchet, Paradis-Giroux, Pépin, & McKerral, 2009",2009,Canada,25,"French, 100"
137,"Blyth, Scott, Bond, & Paul, 2012",2012,Australia,83,"English, 100"
503,"Boake et al., 2004",2004,USA,448,"English, 62.72"
503,"Boake et al., 2004",2004,USA,448,"Spanish, 37.28"
209,"Bolzenius, Roskos, Salminen, Paul, & Bucholz, 2015",2015,USA,30,"English, 100"
34,"Borgaro, Prigatano, Kwasnica, & Rexer, 2003",2003,USA,42,"English, 100"
48,"Broglio, Tomporowski, & Ferrara, 2005",2005,USA,20,"English, 100"
1071,"Brooks et al., 2013",2013,Canada,616,"English, 100"
1008,"Brooks, Daya, et al., 2016",2016,Canada,105,"English, 100"
210,"Brooks, Iverson, Atkins, Zafonte, & Berkner, 2016",2016,USA,698,"English, 100"
1160,"Brooks, Khan, Daya, Mikrogianakis, & Barlow, 2014",2014,Canada,105,"English, 100"
947,"Brooks, Low, et al., 2016",2016,Canada,154,"English, 100"
1161,"Brookshire, Chapman, Song, & Levin, 2000",2000,USA,91,"English, 100"
95,"Bruce & Echemendia, 2009",2009,USA,1039,"English, 100"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"English, 41.64"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"French, 15.41"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"Czech, 14.75"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"Swedish, 9.51"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"Russian, 7.87"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"Finnish, 7.21"
184,"Bruce, Echemendia, Meeuwisse, Comper, & Sisco, 2014",2014,Unknown or Unreported,305,"German, 3.61"
84,"Catale, Marique, Closset, & Meulemans, 2008",2008,Belgium,30,"French, 100"
138,"Clarke, Genat, & Anderson, 2012",2012,Australia,60,"English, 100"
103,"Cooper et al., 2010",2010,USA,167,"English, 100"
139,"Cooper, Chau, Armistead-Jehle, Vanderploeg, & Bowles, 2012",2012,USA,60,"English, 100"
186,"Cooper, Vanderploeg, Armistead-Jehle, Lewis, & Bowles, 2014",2014,USA,84,"English, 100"
53,"De Monte et al., 2005",2005,Australia,90,"English, 100"
63,"De Monte, Geffen, & Massavelli, 2006",2006,Australia,168,"English, 100"
44,"De Monte, Geffen, May, & McFarland, 2004",2004,Australia,135,"English, 100"
107,"De Monte, Geffen, May, & McFarland, 2010",2010,Australia,348,"English, 100"
615,"Decq et al., 2016",2016,France,377,"French, 100"
16,"Dikmen, Machamer, & Temkin, 2001",2001,USA,266,"English, 100"
216,"Dunkley et al., 2015",2015,Canada,41,"English, 100"
143,"Echemendia et al., 2012",2012,USA,223,"English, 100"
121,"Elbin, Schatz, & Covassin, 2011",2011,USA,369,"English, 100"
86,"Ettenhofer & Abeles, 2008",2008,USA,126,"English, 100"
190,"Fakhran, Yaeger, Collins, & Alhilali, 2014",2014,USA,90,"English, 100"
65,"Falconer, Geffen, Olsen, & McFarland, 2006",2006,Australia,255,"English, 100"
11,"Fisher et al., 2000",2000,USA,90,"English, 100"
1142,"Ford, Giovanello, & Guskiewicz, 2013",2013,USA,41,"English, 100"
168,"Galetto, Andreetta, Zettin, & Marini, 2013",2013,Italy,23,"Italian, 100"
954,"Ghodadra, Alhilali, & Fakhran, 2016",2016,USA,64,"English, 100"
501,"Greiffenstein & Baker, 2003",2003,USA,75,"English, 100"
87,"Greiffenstein & Baker, 2008",2008,USA,799,"English, 92.49"
87,"Greiffenstein & Baker, 2008",2008,USA,799,"English as a second language, 7.51"
29,"Greiffenstein, Baker, & Johnson-Greene, 2002",2002,USA,100,"English, 100"
112,"Grubenhoff, Kirkwood, Gao, Deakyne, & Wathen, 2010",2010,USA,348,"English, 100"
221,"Hï¿½nninen et al., 2016",2016,Finland,304,"Finnish, 80.92"
221,"Hï¿½nninen et al., 2016",2016,Finland,304,"English, 12.83"
221,"Hï¿½nninen et al., 2016",2016,Finland,304,"Non-English and non-Finnish, 6.25"
45,"Hanten et al., 2004",2004,USA,109,"English, 100"
222,"Henry & Sandel, 2015",2015,USA,4500,"English, 100"
493,"Hinton-Bayre, Geffen, & McFarland, 1997",1997,Australia,74,"English, 68.92"
493,"Hinton-Bayre, Geffen, & McFarland, 1997",1997,Australia,74,"Other, 4.05"
611,"Hobson et al., 2016",2016,Australia,166,"English, 100"
98,"Hunt & Ferrara, 2009",2009,USA,198,"English, 100"
172,"Jamora, Schroeder, & Ruff, 2013",2013,USA,66,"English, 100"
99,"Johansson, Berglund, & Rönnbäck, 2009",2009,Sweden,98,"Swedish, 98.98"
99,"Johansson, Berglund, & Rönnbäck, 2009",2009,Sweden,98,"English-Swedish Bilingual, 1.02"
197,"Jones et al., 2014",2014,USA,405,"English, 71.85"
197,"Jones et al., 2014",2014,USA,405,"Spanish, 16.05"
197,"Jones et al., 2014",2014,USA,405,"Spanish-English Bilingual, 8.89"
197,"Jones et al., 2014",2014,USA,405,"English Bilingual (any second
language), 3.21"
199,"Keightley et al., 2014",2014,Canada,30,"English or French, 100"
614,"Killgore et al., 2016",2016,USA,38,"English, 100"
70,"King, Hough, Walker, Rastatter, & Holbert, 2006",2006,USA,20,"English, 100"
200,"Kinsella, Olver, Ong, Gruen, & Hammersley, 2014",2014,Australia,241,"English, 100"
127,"Konrad et al., 2011",2011,Germany,66,"German, 100"
113,"Kontos, Elbin, Covassin, & Larson, 2010",2010,USA,96,"English, 100"
202,"Kuhn & Solomon, 2014",2014,USA,2140,"English, 100"
71,"Landre, Poppe, Davis, Schmaus, & Hobbs, 2006",2006,USA,76,"English, 100"
115,"Lange, Iverson, Brooks, & Rennison, 2010",2010,Canada,63,"English, 69.84"
115,"Lange, Iverson, Brooks, & Rennison, 2010",2010,Canada,63,"English as a second language, 30.16"
40,"Langeluddecke & Lucas, 2003",2003,Australia,125,"English, 100"
1101,"Lax et al., 2015",2015,Canada,211,"English, 100"
1199,"Lee et al., 2008",2008,USA,82,"English, 100"
1202,"Levin et al., 1987",1987,USA,112,"English, 100"
178,"Lipton et al., 2013",2013,USA,37,"English or Spanish, 100"
234,"List, Ott, Bukowski, Lindenberg, & Flöel, 2015",2015,Germany,41,"German, 97.56"
236,"Littleton, Register-Mihalik, & Guskiewicz, 2015",2015,USA,40,"English, 100"
952,"Lopez et al., 2017",2017,USA,39,"English, 100"
237,"Losoi et al., 2016",2016,Finland,114,"Finnish, 100"
203,"Louey et al., 2014",2014,Australia,524,"English, 100"
575,"Luoto et al., 2014",2014,Finland,82,"Finnish, 100"
406,"Möller, de Boussard, Oldenburg, & Bartfai, 2014",2014,Sweden,55,"Swedish, 100"
180,"Macciocchi, Seel, & Thompson, 2013",2013,USA,117,"English, 100"
1105,"Marsh & Smith, 1995",1995,New Zealand,30,"English, 100"
272,"Marsh & Whitehead, 2005",2005,New Zealand,39,"English, 100"
447,"Massey, Meares, Batchelor, & Bryant, 2015",2015,Australia,50,"English as first language, 80"
266,"Mathias, Beall, & Bigler, 2004",2004,Unknown or Unreported,80,"English, 100"
367,"Mathias, Dennington, Bowden, & Bigler, 2013",2013,Australia,71,"English, 100"
267,"McCauley & Levin, 2004",2004,USA,47,"English, 100"
513,"McCauley et al., 2008",2008,USA,139,"English, 84.89"
513,"McCauley et al., 2008",2008,USA,139,"Spanish, 15.11"
401,"McCauley et al., 2014",2014,USA,178,"English, 98.31"
401,"McCauley et al., 2014",2014,USA,178,"Spanish, 1.68"
1043,"McCullough, De Monte, Sheedy, & Geffen, 2006",2006,Australia,511,"English, 100"
280,"Meares et al., 2006",2006,Australia,122,"English, 77.05"
280,"Meares et al., 2006",2006,Australia,122,"English Bilingual (any second
language), 22.95"
372,"Mihalik et al., 2013",2013,USA,296,"English, 100"
410,"Nakayama, Covassin, Schatz, Nogle, & Kovan, 2014",2014,USA,85,"English, 100"
324,"Nelson et al., 2010",2010,USA,119,"English, 100"
350,"Nelson et al., 2012",2012,USA,104,"English, 100"
455,"Newsome et al., 2015",2015,USA,100,"English, 100"
1217,"Nolin & Heroux, 2006",2006,Canada,85,"French, 100"
351,"Nolin, Stipanicic, Henry, Joyal, & Allain, 2012",2012,Canada,50,"French, 100"
415,"Olsson et al., 2014",2014,Australia,49,"English, 100"
416,"Ott, Schatz, Solomon, & Ryan, 2014",2014,USA,23775,"English, 50.28"
416,"Ott, Schatz, Solomon, & Ryan, 2014",2014,USA,23775,"Spanish-English Bilingual, 49.72"
338,"Ozen & Fernandes, 2011",2011,Canada,87,"English, 100"
352,"Ozen & Fernandes, 2012",2012,Canada,57,"English, 100"
456,"Panenka et al., 2015",2015,Canada,94,"English, 100"
315,"Paré, Rabin, Fogel, & Pépin, 2009",2009,Canada,116,"French, 100"
419,"Phillipou, Douglas, Krieser, Ayton, & Abel, 2014",2014,Australia,62,"English, 100"
1220,"Ponsford et al., 1999",1999,Australia,116,"English, 100"
1221,"Ponsford et al., 2000",2000,Australia,137,"English, 100"
256,"Ponsford et al., 2001",2001,Australia,211,"English, 100"
500,"Ponsford et al., 2002",2002,Australia,202,"English, 100"
544,"Ponsford et al., 2012",2012,Australia,223,"English, 100"
339,"Ponsford, Cameron, Fitzgerald, Grant, & Mikocka-Walus, 2011",2011,Australia,223,"English, 100"
354,"Rabinowitz & Arnett, 2012",2012,USA,574,"English, 100"
461,"Rabinowitz et al., 2015",2015,USA,170,"English or Spanish, 100"
261,"Ravdin, Barr, Jordan, Lathan, & Relkin, 2003",2003,USA,18,"English, 100"
463,"Resch et al., 2015",2015,USA,76,"English, 100"
379,"Resch, Brown, et al., 2013",2013,USA,104,"English, 100"
381,"Resch, Driscoll, et al., 2013",2013,Multiple countries,91,"English, 100"
380,"Resch, Macciocchi, & Ferrara, 2013",2013,USA,108,"English, 100"
340,"Resch, May, Tomporowski, & Ferrara, 2011",2011,USA,20,"English, 100"
383,"Riegler, Neils-Strunjas, Boyce, Wade, & Scheifele, 2013",2013,USA,12,"English, 100"
1226,"Ruffolo, Friedland, Dawson, Colantonio, & Lindsay, 1999",1999,Canada,50,"English, 100"
262,"Ruttan & Heinrichs, 2003",2003,Canada,122,"English, 100"
561,"Schatz & Maerlender, 2013",2013,USA,21917,"English, 100"
562,"Schatz & Sandel, 2013",2013,USA,236,"English, 100"
536,"Schatz, Moser, Solomon, Ott, & Karpf, 2012",2012,USA,5899,"English, 100"
529,"Scherwath et al., 2011",2011,Germany,37,"German, 100"
1009,"Schroeder, Ruff, & Jäncke, 2015",2015,USA,91,"English, 100"
282,"Sheedy, Geffen, Donnelly, & Faux, 2006",2006,Australia,300,"English, 100"
1227,"Sheedy, Harvey, Faux, Geffen, & Shores, 2009",2009,Australia,300,"English, 100"
303,"Shuttleworth-Edwards & Radloff, 2008",2008,South Africa,226,"English or Afrikaans, 100"
304,"Shuttleworth-Edwards, Smith, & Radloff, 2008",2008,South Africa,45,"English as first language, 91.11"
319,"Shuttleworth-Edwards, Whitefield-Alexander, Radloff, Taylor, & Lovell, 2009",2009,Multiple countries,11257,"English, 100"
965,"Silverberg, Berkner, Atkins, Zafonte, & Iverson, 2016",2016,USA,2627,"English, 100"
428,"Silverberg, Luoto, Öhman, & Iverson, 2014",2014,Finland,59,"Finnish, 100"
386,"Siman et al., 2013",2013,USA,38,"English or Spanish, 100"
467,"Stokum et al., 2015",2015,USA,48,"English, 100"
468,"Storzbach et al., 2015",2015,USA,132,"English, 100"
1129,"Studer et al., 2015",2015,Switzerland,63,"German, 100"
545,"Swick, Honzel, Larsen, Ashley, & Justus, 2012",2012,USA,73,"English, 100"
1230,"Tay, Ang, Lau, Meyyappan, & Collinson, 2010",2010,Singapore,76,"English, 71.05"
1230,"Tay, Ang, Lau, Meyyappan, & Collinson, 2010",2010,Singapore,76,"Mandarin, 28.95"
472,"Terry, Adams, Ferrara, & Miller, 2015",2015,USA,41,"English, 100"
564,"Theadom et al., 2013",2013,New Zealand,60,"English, 100"
307,"Thornton, Cox, Whitfield, & Fouladi, 2008",2008,Canada,111,"English, 100"
285,"Tombaugh, Stormer, Rees, Irving, & Francis, 2006",2006,Unknown or Unreported,118,"English, 100"
595,"Troyanskaya et al., 2015",2015,USA,97,"English, 100"
331,"Tsirka et al., 2010",2010,Greece,52,"Greek, 100"
528,"Tsirka et al., 2011",2011,Greece,50,"Greek, 100"
440,"Tsushima & Siu, 2014",2014,USA,247,"English, 100"
485,"Tsushima, Geling, & Arnold, 2016",2016,USA,483,"English, 100"
1131,"Tsushima, Siu, Pearce, Guangxiang Zhang, & Oshiro, 2016",2016,USA,212,"English, 100"
