record_id,pub_apa,pub_year,pop_country
116,"Allen & Gfeller, 2011",2011,USA
153,"Amick et al., 2013",2013,USA
181,"Araujo et al., 2014",2014,USA
944,"Armistead-Jehle, Cooper, & Vanderploeg, 2016",2016,USA
117,"Babikian et al., 2011",2011,USA
1067,"Barker-Collo et al., 2015",2015,New Zealand
1156,"Barrow et al., 2003",2003,USA
540,"Barwick, Arnett, & Slobounov, 2012",2012,USA
155,"Barwood & Murdoch, 2013",2013,Australia
2,"Beers, Goldstein, & Katz, 1994",1994,USA
490,"Bernick et al., 2015",2015,USA
1068,"Biederman et al., 2015",2015,USA
206,"Bigler et al., 2015",2015,Multiple countries
207,"Blake, Ott, Villanyi, Kazhuro, & Schatz, 2015",2015,USA
503,"Boake et al., 2004",2004,USA
209,"Bolzenius, Roskos, Salminen, Paul, & Bucholz, 2015",2015,USA
1008,"Brooks, Daya, et al., 2016",2016,Canada
1160,"Brooks, Khan, Daya, Mikrogianakis, & Barlow, 2014",2014,Canada
49,"Broshek et al., 2005",2005,USA
955,"Clark et al., 2016",2016,USA
119,"Classen et al., 2011",2011,USA
1166,"Cole et al., 2013",2013,USA
211,"Cole et al., 2015",2015,USA
8,"Collins et al., 1999",1999,USA
1076,"Combs et al., 2015",2015,USA
212,"Coughlin et al., 2015",2015,USA
1170,"Daniel et al., 1999",1999,USA
165,"De Beaumont et al., 2013",2013,Canada
553,"Didehbani, Cullum, Mansinghani, Conover, & Hart, 2013",2013,USA
1078,"Dretsch, Kelly, Coldren, Parish, & Russell, 2015",2015,USA
1077,"Dretsch, Parish, Kelly, Coldren, & Russell, 2015",2015,USA
1079,"Dretsch, Silverberg, & Iverson, 2015",2015,USA
167,"Durazzo et al., 2013",2013,USA
1240,"Echemendia, Putukian, Mackin, Julian, & Shoss, 2001",2001,USA
37,"Erlanger et al., 2003",2003,USA
86,"Ettenhofer & Abeles, 2008",2008,USA
17,"Fann, Uomoto, & Katon, 2001",2001,USA
110,"Fay et al., 2010",2010,USA
11,"Fisher et al., 2000",2000,USA
592,"Franke, Czarnota, Ketchum, & Walker, 2015",2015,USA
962,"Gill et al., 2016",2016,USA
122,"Gordon, Fitzpatrick, & Hilsabeck, 2011",2011,USA
501,"Greiffenstein & Baker, 2003",2003,USA
613,"Grills & Armistead-Jehle, 2016",2016,USA
221,"Hï¿½nninen et al., 2016",2016,Finland
21,"Hanna-Pladdy, Berry, Bennett, Phillips, & Gouvier, 2001",2001,USA
1085,"Hart et al., 2013",2013,USA
38,"Hess, Marwitz, & Kreutzer, 2003",2003,USA
171,"Hill, Rohling, Boettcher, & Meyers, 2013",2013,USA
223,"Hill, Womble, & Rohling, 2015",2015,USA
493,"Hinton-Bayre, Geffen, & McFarland, 1997",1997,Australia
98,"Hunt & Ferrara, 2009",2009,USA
1094,"Ivins et al., 2015",2015,USA
172,"Jamora, Schroeder, & Ruff, 2013",2013,USA
197,"Jones et al., 2014",2014,USA
88,"Kashluba, Hanks, Casey, & Millis, 2008",2008,USA
57,"Killam, Cautin, & Santucci, 2005",2005,USA
113,"Kontos, Elbin, Covassin, & Larson, 2010",2010,USA
1100,"Krishnan, Smith, & Donders, 2012",2012,USA
129,"Krivitzky et al., 2011",2011,USA
152,"Lange et al., 2012",2012,USA
100,"Lange, Iverson, & Franzen, 2009",2009,USA
115,"Lange, Iverson, Brooks, & Rennison, 2010",2010,Canada
151,"Lange, Pancholi, Bhagwat, Anderson-Barnes, & French, 2012",2012,USA
175,"Larson, Kondiles, Starr, & Zollman, 2013",2013,USA
176,"Larson, Zollman, Kondiles, & Starr, 2013",2013,USA
559,"Levin et al., 2013",2013,USA
1104,"Lippa et al., 2014",2014,USA
952,"Lopez et al., 2017",2017,USA
203,"Louey et al., 2014",2014,Australia
1141,"Lovell, Iverson, Collins, McKeag, & Maroon, 1999",1999,USA
132,"Luethcke, Bryan, Morrow, & Isler, 2011",2011,USA
606,"Mac Donald et al., 2015",2015,USA
180,"Macciocchi, Seel, & Thompson, 2013",2013,USA
570,"MacDonald et al., 2014",2014,USA
102,"Maillard-Wermelinger et al., 2009",2009,USA
310,"Maruff et al., 2009",2009,Unknown or Unreported
447,"Massey, Meares, Batchelor, & Bryant, 2015",2015,Australia
1106,"Matser, Kessels, Jordan, Lezak, & Troost, 1998",1998,Netherlands
499,"Matser, Kessels, Lezak, & Troost, 2001",2001,Netherlands
251,"Matser, Kessels, Lezak, Jordan, & Troost, 1999",1999,Netherlands
1138,"Matser, Kessels, Lezak, Troost, & Jordan, 2000",2000,Netherlands
273,"McAllister et al., 2005",2005,USA
347,"McAllister et al., 2012",2012,USA
513,"McCauley et al., 2008",2008,USA
401,"McCauley et al., 2014",2014,USA
252,"McDonald & Franzen, 1999",1999,USA
404,"McGlinchey, Fortier, Venne, Maksimovskiy, & Milberg, 2014",2014,USA
576,"Merritt & Arnett, 2014",2014,USA
451,"Meyer & Arnett, 2015b",2015,USA
268,"Meyers & Rohling, 2004",2004,USA
410,"Nakayama, Covassin, Schatz, Nogle, & Kovan, 2014",2014,USA
324,"Nelson et al., 2010",2010,USA
350,"Nelson et al., 2012",2012,USA
482,"Nelson et al., 2016",2016,USA
1115,"Nelson et al., 2016",2016,USA
609,"Nelson, Pfaller, Rein, & McCrea, 2015",2015,USA
375,"Newman, Reesman, Vaughan, & Gioia, 2013",2013,USA
325,"Ord, Boettcher, Greve, & Bianchini, 2010",2010,USA
416,"Ott, Schatz, Solomon, & Ryan, 2014",2014,USA
456,"Panenka et al., 2015",2015,Canada
315,"Paré, Rabin, Fogel, & Pépin, 2009",2009,Canada
339,"Ponsford, Cameron, Fitzgerald, Grant, & Mikocka-Walus, 2011",2011,Australia
422,"Proto et al., 2014",2014,USA
423,"Provance et al., 2014",2014,USA
354,"Rabinowitz & Arnett, 2012",2012,USA
567,"Rabinowitz & Arnett, 2013",2013,USA
461,"Rabinowitz et al., 2015",2015,USA
462,"Rabinowitz, Merritt, & Arnett, 2015",2015,USA
261,"Ravdin, Barr, Jordan, Lathan, & Relkin, 2003",2003,USA
1124,"Register-Mihalik, De Maio, Tibbo-Valeriote, & Wooten, 2015",2015,USA
381,"Resch, Driscoll, et al., 2013",2013,Multiple countries
382,"Rieger et al., 2013",2013,USA
293,"Ruocco & Swirsky-Sacchetti, 2007",2007,USA
561,"Schatz & Maerlender, 2013",2013,USA
562,"Schatz & Sandel, 2013",2013,USA
358,"Schnabel & Kydd, 2012",2012,New Zealand
1009,"Schroeder, Ruff, & Jäncke, 2015",2015,USA
385,"Shandera-Ochsner et al., 2013",2013,USA
1148,"Shuttleworth-Edwards, Radloff, Whitefield-Alexander, Smith, & Horsman, 2014",2014,South Africa
304,"Shuttleworth-Edwards, Smith, & Radloff, 2008",2008,South Africa
319,"Shuttleworth-Edwards, Whitefield-Alexander, Radloff, Taylor, & Lovell, 2009",2009,Multiple countries
428,"Silverberg, Luoto, Öhman, & Iverson, 2014",2014,Finland
386,"Siman et al., 2013",2013,USA
387,"Soble, Spanierman, & Smith, 2013",2013,USA
534,"Sponheim et al., 2011",2011,USA
1127,"Stamm et al., 2015",2015,USA
469,"Strain et al., 2015",2015,USA
321,"Straume-Næsheim et al., 2009",2009,Norway
504,"Straume-Næsheim, Andersen, & Bahr, 2005",2005,Norway
434,"Suchy, Euler, & Eastvold, 2014",2014,USA
1230,"Tay, Ang, Lau, Meyyappan, & Collinson, 2010",2010,Singapore
330,"Taylor et al., 2010",2010,USA
484,"Teel, Gay, Johnson, & Slobounov, 2016",2016,USA
360,"Terry et al., 2012",2012,USA
391,"Thaler et al., 2013",2013,USA
564,"Theadom et al., 2013",2013,New Zealand
945,"Theadom et al., 2016",2016,New Zealand
603,"Theadom, Cropley, et al., 2015",2015,New Zealand
597,"Theadom, Parmar, et al., 2015",2015,New Zealand
394,"Trontel, Hall, Ashendorf, & O’Connor, 2013",2013,USA
440,"Tsushima & Siu, 2014",2014,USA
395,"Tsushima, Shirakawa, & Geling, 2013",2013,USA
486,"Van Patten, Keith, Bertolin, & Wright, 2016",2016,USA
1233,"Vanderploeg, Belanger, & Curtiss, 2009",2009,USA
1234,"Vanderploeg, Curtiss, & Belanger, 2005",2005,USA
543,"Vasterling et al., 2012",2012,USA
915,"Veeramuthu et al., 2014",2014,Malaysia
946,"Veeramuthu et al., 2016",2016,Malaysia
299,"Vilar-López et al., 2007",2007,Spain
1238,"Wäljas et al., 2015",2015,Finland
584,"Waid-Ebbs et al., 2014",2014,USA
443,"Walker, Franke, Cifu, & Hart, 2014",2014,USA
960,"Wang et al., 2016",2016,USA
476,"Whiteside et al., 2015",2015,USA
548,"Willeumier, Taylor, & Amen, 2012",2012,USA
488,"Winkler et al., 2016",2016,USA
444,"Wisdom et al., 2014",2014,USA
612,"Wright et al., 2016",2016,USA
578,"Zollman, Starr, Kondiles, Cyborski, & Larson, 2014",2014,USA
